timestep,Dice,SSIM,IOU,Precision,Recall,FPR
0000,0.0080,0.9673,0.2042,0.0000,0.0000,0.1122
0001,0.0128,0.8636,0.1494,0.0000,0.0000,0.1340
0002,0.0144,0.7619,0.1965,0.0000,0.0000,0.0972
0003,0.0155,0.5801,0.2094,0.0000,0.0000,0.0820
0004,0.0122,0.5281,0.1671,0.0000,0.0000,0.1226
0005,0.0126,0.4471,0.2760,0.0000,0.0000,0.0572
0006,0.0236,0.3877,0.3006,0.0000,0.0000,0.0595
0007,0.2523,0.3044,0.5971,0.0000,0.0000,0.0205
0008,0.0354,0.3331,0.2986,0.0000,0.0000,0.0649
0009,0.3006,0.2349,0.5508,0.0000,0.0000,0.0285
0010,0.2305,0.2002,0.3372,0.0000,0.0000,0.0598
0011,0.6186,0.1186,0.5217,0.0000,0.0000,0.0285
0012,0.6249,0.1028,0.4914,0.0000,0.0000,0.0289
0013,0.7709,-0.0148,0.4363,0.0000,0.0000,0.0372
0014,0.6840,0.0396,0.4473,0.0000,0.0000,0.0390
0015,0.7206,0.0734,0.4860,0.0000,0.0000,0.0359
0016,0.6693,0.0535,0.4124,0.0000,0.0000,0.0468
0017,0.6541,0.0221,0.4004,0.0000,0.0000,0.0482
0018,0.6319,0.0718,0.4007,0.0000,0.0000,0.0464
0019,0.6272,0.0511,0.3715,0.0000,0.0000,0.0531
0020,0.6957,0.0059,0.3776,0.0000,0.0000,0.0521
0021,0.6087,0.0237,0.3605,0.0000,0.0000,0.0576
0022,0.6481,0.0047,0.3523,0.0000,0.0000,0.0592
0023,0.6231,0.0043,0.3361,0.0000,0.0000,0.0602
0024,0.6253,-0.0167,0.3109,0.0000,0.0000,0.0663
0025,0.6104,-0.0010,0.3150,0.0000,0.0000,0.0671
0026,0.5784,-0.0080,0.2980,0.0000,0.0000,0.0693
0027,0.5680,-0.0031,0.2933,0.0000,0.0000,0.0713
0028,0.5150,-0.0028,0.2674,0.0000,0.0000,0.0805
0029,0.5892,-0.0008,0.2915,0.0000,0.0000,0.0732
0030,0.5466,0.0045,0.2870,0.0000,0.0000,0.0770
0031,0.5097,-0.0034,0.2653,0.0000,0.0000,0.0830
0032,0.5249,-0.0034,0.2666,0.0000,0.0000,0.0820
0033,0.4936,-0.0096,0.2380,0.0000,0.0000,0.0920
0034,0.4918,0.0011,0.2521,0.0000,0.0000,0.0894
0035,0.4661,0.0016,0.2390,0.0000,0.0000,0.0943
0036,0.4873,0.0077,0.2483,0.0000,0.0000,0.0910
0037,0.4917,0.0055,0.2442,0.0000,0.0000,0.0924
0038,0.4765,0.0038,0.2374,0.0000,0.0000,0.0958
0039,0.4687,0.0051,0.2390,0.0000,0.0000,0.0951
0040,0.4657,0.0024,0.2303,0.0000,0.0000,0.0974
0041,0.4531,0.0075,0.2336,0.0000,0.0000,0.0970
0042,0.4489,0.0042,0.2293,0.0000,0.0000,0.0973
0043,0.4093,0.0093,0.2111,0.0000,0.0000,0.1071
0044,0.4028,0.0090,0.2006,0.0000,0.0000,0.1108
0045,0.4429,0.0023,0.2160,0.0000,0.0000,0.1030
0046,0.4053,-0.0004,0.2016,0.0000,0.0000,0.1094
0047,0.4366,0.0034,0.2132,0.0000,0.0000,0.1043
0048,0.3989,0.0058,0.2050,0.0000,0.0000,0.1088
0049,0.3744,0.0052,0.1811,0.0000,0.0000,0.1192
