timestep,Dice,SSIM,IOU,Precision,Recall,FPR
0000,0.0000,0.7330,0.8203,0.8364,0.9770,0.0284
0001,0.0000,0.7228,0.8004,0.8065,0.9907,0.0334
0002,0.0000,0.7040,0.8629,0.8682,0.9930,0.0230
0003,0.0000,0.6952,0.8629,0.8754,0.9838,0.0218
0004,0.0000,0.6607,0.8443,0.8549,0.9856,0.0253
0005,0.0000,0.6443,0.8590,0.8646,0.9926,0.0236
0006,0.0000,0.6415,0.8629,0.8676,0.9938,0.0231
0007,0.0000,0.6239,0.8572,0.8650,0.9896,0.0235
0008,0.0168,0.6003,0.8711,0.8786,0.9903,0.0212
0009,0.0180,0.5822,0.8523,0.8579,0.9924,0.0247
0010,0.0008,0.5834,0.8601,0.8669,0.9910,0.0232
0011,0.0284,0.5662,0.8661,0.8714,0.9930,0.0224
0012,0.0517,0.5348,0.8783,0.8841,0.9925,0.0203
0013,0.0162,0.5471,0.8397,0.8453,0.9922,0.0269
0014,0.0200,0.5361,0.8717,0.8796,0.9898,0.0210
0015,0.0866,0.4969,0.8753,0.8813,0.9923,0.0207
0016,0.0627,0.4994,0.8650,0.8692,0.9945,0.0228
0017,0.0768,0.4890,0.8565,0.8609,0.9941,0.0242
0018,0.0355,0.4849,0.8520,0.8570,0.9932,0.0249
0019,0.0608,0.4715,0.8547,0.8627,0.9894,0.0239
0020,0.1182,0.4485,0.8576,0.8692,0.9847,0.0228
0021,0.0388,0.4616,0.8440,0.8516,0.9896,0.0258
0022,0.1166,0.4253,0.8692,0.8757,0.9916,0.0217
0023,0.1159,0.4221,0.8519,0.8585,0.9910,0.0246
0024,0.0413,0.4372,0.8405,0.8472,0.9907,0.0266
0025,0.1211,0.4047,0.8549,0.8599,0.9932,0.0244
0026,0.1347,0.3866,0.8260,0.8351,0.9869,0.0286
0027,0.0457,0.3925,0.8305,0.8338,0.9952,0.0288
0028,0.0828,0.3756,0.8519,0.8574,0.9925,0.0248
0029,0.0292,0.3784,0.8205,0.8285,0.9883,0.0297
0030,0.1303,0.3531,0.8449,0.8527,0.9894,0.0256
0031,0.0879,0.3644,0.8248,0.8291,0.9937,0.0296
0032,0.1594,0.3362,0.8402,0.8500,0.9865,0.0261
0033,0.1327,0.3321,0.8263,0.8336,0.9895,0.0289
0034,0.1116,0.3310,0.8134,0.8240,0.9843,0.0305
0035,0.1177,0.3133,0.8273,0.8330,0.9917,0.0289
0036,0.1278,0.3001,0.8109,0.8166,0.9914,0.0317
0037,0.1660,0.2943,0.8150,0.8198,0.9929,0.0312
0038,0.1407,0.2887,0.8230,0.8321,0.9868,0.0291
0039,0.1508,0.2849,0.7917,0.7974,0.9910,0.0349
0040,0.1816,0.2740,0.7790,0.7853,0.9898,0.0369
0041,0.1501,0.2666,0.7541,0.7595,0.9907,0.0412
0042,0.2001,0.2589,0.7896,0.7976,0.9874,0.0349
0043,0.1567,0.2485,0.7637,0.7670,0.9944,0.0399
0044,0.2651,0.2326,0.7723,0.7794,0.9884,0.0379
0045,0.1997,0.2330,0.7942,0.7982,0.9937,0.0348
0046,0.2060,0.2174,0.7605,0.7696,0.9848,0.0395
0047,0.2971,0.2165,0.7617,0.7673,0.9905,0.0399
0048,0.3625,0.1969,0.7869,0.7926,0.9910,0.0357
0049,0.1949,0.2060,0.7323,0.7389,0.9879,0.0445
0050,0.3087,0.1859,0.7671,0.7750,0.9868,0.0386
0051,0.2756,0.1928,0.7366,0.7420,0.9903,0.0440
0052,0.3650,0.1724,0.7453,0.7502,0.9912,0.0427
0053,0.3097,0.1766,0.7290,0.7334,0.9920,0.0454
0054,0.2911,0.1721,0.7194,0.7243,0.9906,0.0469
0055,0.4238,0.1487,0.7291,0.7359,0.9876,0.0450
0056,0.2776,0.1596,0.7132,0.7173,0.9921,0.0480
0057,0.3423,0.1487,0.6933,0.6972,0.9921,0.0513
0058,0.2434,0.1415,0.6786,0.6821,0.9927,0.0537
0059,0.2958,0.1326,0.6595,0.6642,0.9893,0.0566
0060,0.1998,0.1370,0.6408,0.6449,0.9904,0.0596
0061,0.3520,0.1248,0.6598,0.6633,0.9922,0.0567
0062,0.3555,0.1102,0.6543,0.6584,0.9906,0.0575
0063,0.4111,0.1008,0.6437,0.6499,0.9853,0.0589
0064,0.3328,0.1138,0.5845,0.5902,0.9837,0.0682
0065,0.3802,0.1034,0.6226,0.6258,0.9918,0.0626
0066,0.4674,0.0812,0.6445,0.6518,0.9828,0.0586
0067,0.4596,0.0797,0.6309,0.6386,0.9813,0.0607
0068,0.4422,0.0764,0.6244,0.6310,0.9835,0.0618
0069,0.4157,0.0714,0.5976,0.6027,0.9860,0.0662
0070,0.4002,0.0608,0.5466,0.5501,0.9888,0.0743
0071,0.4575,0.0505,0.5869,0.5972,0.9715,0.0672
0072,0.3385,0.0420,0.3501,0.3519,0.9853,0.1037
0073,0.2880,0.0614,0.4016,0.4038,0.9867,0.0962
0074,0.3261,0.0414,0.3724,0.3770,0.9684,0.1002
0075,0.3687,0.0530,0.4299,0.4334,0.9817,0.0919
0076,0.2395,0.0388,0.1172,0.1174,0.9881,0.1360
0077,0.3278,0.0498,0.3696,0.3706,0.9930,0.1009
0078,0.3916,0.0367,0.4065,0.4081,0.9907,0.0955
