timestep,Dice,SSIM,IOU,Precision,Recall,FPR
0079,0.3049,0.0254,0.2273,0.2295,0.9587,0.1210
0080,0.3974,0.0273,0.4006,0.4051,0.9733,0.0961
0081,0.2295,0.0283,0.0865,0.0867,0.9773,0.1401
0082,0.2822,0.0215,0.0927,0.0928,0.9914,0.1393
0083,0.2326,0.0228,0.0229,0.0230,0.8444,0.1485
0084,0.3259,0.0216,0.2373,0.2377,0.9933,0.1197
0085,0.2856,0.0140,0.0968,0.0969,0.9856,0.1387
0086,0.3269,0.0177,0.1714,0.1717,0.9907,0.1287
0087,0.3248,0.0067,0.1805,0.1811,0.9830,0.1275
0088,0.2751,0.0165,0.0270,0.0270,1.0000,0.1478
0089,0.3051,0.0163,0.0516,0.0516,1.0000,0.1446
0090,0.2184,0.0143,0.0358,0.0359,0.9368,0.1467
0091,0.3030,0.0130,0.1412,0.1416,0.9832,0.1328
0092,0.2707,0.0128,0.0000,0.0000,0.0000,0.1521
0093,0.2662,0.0126,0.0000,0.0000,0.0000,0.1522
0094,0.2712,0.0104,0.0000,0.0000,0.0000,0.1529
0095,0.2812,0.0088,0.0000,0.0000,0.0000,0.1530
0096,0.2740,0.0089,0.0005,0.0006,0.0054,0.1538
0097,0.2762,0.0090,0.0000,0.0000,0.0000,0.1536
0098,0.2459,0.0128,0.0000,0.0000,0.0000,0.1544
0099,0.2301,0.0103,0.0000,0.0000,0.0000,0.1539
