timestep,Dice,SSIM,IOU,Precision,Recall,FPR
0000,0.0000,0.9272,0.0020,0.0034,0.0046,0.1698
0001,0.0000,0.9409,0.0000,0.0000,0.0000,0.1618
0002,0.0000,0.9242,0.2198,0.2211,0.9725,0.1221
0003,0.0000,0.8788,0.3574,0.3640,0.9515,0.1022
0004,0.0000,0.9062,0.0828,0.1544,0.1515,0.1513
0005,0.0000,0.8328,0.0000,0.0000,0.0000,0.1563
0006,0.0000,0.9100,0.7125,0.7398,0.9506,0.0446
0007,0.0000,0.9244,0.3765,0.3779,0.9900,0.0999
0008,0.0000,0.8861,0.0023,0.0032,0.0076,0.1612
0009,0.0000,0.9138,0.1495,0.1495,1.0000,0.1317
0010,0.0000,0.8456,0.0000,0.0000,0.0000,0.1651
0011,0.0000,0.8447,0.0000,0.0000,0.0000,0.1633
0012,0.0000,0.8698,0.0000,0.0000,0.0000,0.1575
0013,0.0000,0.8930,0.4538,0.4564,0.9876,0.0884
0014,0.0000,0.8318,0.4443,0.4461,0.9908,0.0899
0015,0.0000,0.8624,0.4471,0.4477,0.9969,0.0897
0016,0.0000,0.8603,0.0030,0.0036,0.0181,0.1555
0017,0.0000,0.8402,0.0000,0.0000,0.0000,0.1571
0018,0.0000,0.8477,0.3199,0.3305,0.9085,0.1072
0019,0.0000,0.8315,0.3614,0.3648,0.9749,0.1019
0020,0.0000,0.7823,0.0057,0.0116,0.0112,0.1775
0021,0.0000,0.8187,0.2001,0.2037,0.9199,0.1247
0022,0.0000,0.8753,0.3932,0.3933,0.9997,0.0976
0023,0.0000,0.8194,0.6485,0.6509,0.9943,0.0586
0024,0.0000,0.8050,0.4551,0.4563,0.9945,0.0884
0025,0.0000,0.7999,0.0024,0.0031,0.0106,0.1579
0026,0.0000,0.8189,0.7048,0.7139,0.9822,0.0486
0027,0.0000,0.8244,0.4087,0.4103,0.9903,0.0952
0028,0.0000,0.7648,0.2848,0.2862,0.9837,0.1130
0029,0.0000,0.8208,0.1906,0.1906,1.0000,0.1261
0030,0.0000,0.7851,0.7958,0.8115,0.9762,0.0326
0031,0.0000,0.8053,0.6707,0.6731,0.9948,0.0551
0032,0.0000,0.8197,0.6971,0.6988,0.9965,0.0510
0033,0.0000,0.7737,0.7328,0.7369,0.9924,0.0448
0034,0.0000,0.7319,0.1601,0.1601,0.9994,0.1302
0035,0.0000,0.7470,0.7173,0.7205,0.9939,0.0475
0036,0.0000,0.7623,0.6357,0.6370,0.9968,0.0608
0037,0.0000,0.7918,0.5982,0.6015,0.9910,0.0664
0038,0.0000,0.7575,0.7374,0.7556,0.9685,0.0419
0039,0.0000,0.7611,0.6033,0.6156,0.9678,0.0644
0040,0.0000,0.7546,0.5701,0.5714,0.9960,0.0710
0041,0.0000,0.7592,0.0000,0.0000,0.0000,0.1598
0042,0.0000,0.7666,0.5454,0.5587,0.9582,0.0732
0043,0.0000,0.7641,0.6047,0.6064,0.9954,0.0656
0044,0.0000,0.6980,0.7974,0.8368,0.9442,0.0285
0045,0.0000,0.7239,0.3165,0.3169,0.9953,0.1086
0046,0.0008,0.7522,0.5820,0.5824,0.9986,0.0693
0047,0.0000,0.7511,0.4260,0.4260,1.0000,0.0928
0048,0.0000,0.7389,0.5061,0.5125,0.9762,0.0801
0049,0.0072,0.6288,0.7661,0.7733,0.9879,0.0389
0050,0.0000,0.7135,0.6874,0.6913,0.9918,0.0522
0051,0.0044,0.6691,0.5396,0.5451,0.9817,0.0751
0052,0.0004,0.7339,0.7304,0.7334,0.9945,0.0454
0053,0.0841,0.6193,0.7789,0.7891,0.9837,0.0363
0054,0.0000,0.6552,0.0000,0.0000,0.0000,0.1589
0055,0.0020,0.6144,0.4843,0.5063,0.9176,0.0815
0056,0.0038,0.6768,0.5702,0.5841,0.9597,0.0693
0057,0.0000,0.6657,0.5951,0.6027,0.9794,0.0663
0058,0.0070,0.6505,0.5476,0.5499,0.9925,0.0743
0059,0.0321,0.5911,0.3518,0.3558,0.9695,0.1032
0060,0.0062,0.6729,0.7176,0.7258,0.9844,0.0467
0061,0.0070,0.6467,0.0000,0.0000,0.0000,0.1600
0062,0.0000,0.6508,0.5043,0.5055,0.9954,0.0811
0063,0.0000,0.6768,0.6606,0.6639,0.9925,0.0566
0064,0.0130,0.6575,0.7100,0.7222,0.9767,0.0473
0065,0.0078,0.5669,0.4430,0.4495,0.9683,0.0896
0066,0.0020,0.5870,0.5802,0.5829,0.9921,0.0693
0067,0.0094,0.6004,0.7113,0.7228,0.9782,0.0472
0068,0.0122,0.5387,0.6806,0.6917,0.9769,0.0522
0069,0.0036,0.6163,0.4868,0.4885,0.9932,0.0836
0070,0.0006,0.6663,0.7514,0.7536,0.9961,0.0421
0071,0.0002,0.5577,0.2536,0.2553,0.9735,0.1173
0072,0.0038,0.5238,0.7301,0.7387,0.9843,0.0446
0073,0.0020,0.5626,0.6427,0.6436,0.9978,0.0598
0074,0.0042,0.5342,0.4649,0.4688,0.9823,0.0866
0075,0.0090,0.5620,0.2874,0.2890,0.9815,0.1126
0076,0.0197,0.5744,0.7718,0.7734,0.9973,0.0388
0077,0.1091,0.4849,0.5101,0.5119,0.9930,0.0801
0078,0.0042,0.5414,0.4546,0.4547,0.9996,0.0886
0079,0.0038,0.5593,0.5614,0.5651,0.9885,0.0720
0080,0.0136,0.4990,0.5060,0.5082,0.9915,0.0807
0081,0.0068,0.4862,0.4278,0.4386,0.9454,0.0914
0082,0.0144,0.4526,0.2060,0.2060,1.0000,0.1240
0083,0.0288,0.3986,0.6065,0.6087,0.9941,0.0653
0084,0.0124,0.4201,0.0000,0.0000,0.0000,0.1544
0085,0.3764,0.3346,0.7671,0.7787,0.9811,0.0381
0086,0.0174,0.3960,0.3317,0.3318,0.9994,0.1065
0087,0.0159,0.3697,0.0001,0.0001,0.0010,0.1537
0088,0.0500,0.2934,0.1600,0.1601,0.9931,0.1303
0089,0.0161,0.3049,0.0007,0.0009,0.0041,0.1564
0090,0.0128,0.2883,0.0543,0.0557,0.6874,0.1447
0091,0.0084,0.2223,0.0026,0.0031,0.0165,0.1553
0092,0.2028,0.2015,0.2503,0.2509,0.9912,0.1179
