timestep,Dice,SSIM,IOU,Precision,Recall,FPR
0,0,0.8336,0.7354,0.8454,0.8496,0.0275
1,0,0.7766,0.6273,0.8662,0.6946,0.025
2,0,0.7294,0.6502,0.8584,0.7283,0.0261
3,0,0.6997,0.5901,0.8737,0.6451,0.024
4,0,0.6643,0.7746,0.9012,0.8465,0.0178
5,0,0.6421,0.7008,0.8871,0.7695,0.0207
6,0,0.6253,0.6746,0.8666,0.7528,0.0244
7,0,0.6106,0.6989,0.8882,0.7663,0.0205
8,0.0006,0.585,0.7413,0.8995,0.8083,0.0183
9,0.0002,0.5812,0.6793,0.8798,0.7488,0.0221
10,0.003,0.5598,0.8161,0.8916,0.9059,0.0193
11,0.0014,0.5563,0.7608,0.885,0.8442,0.0207
12,0.0002,0.5476,0.6219,0.8718,0.6845,0.024
13,0.0016,0.5379,0.6737,0.8683,0.7503,0.0242
14,0.0482,0.484,0.8779,0.9009,0.9717,0.0174
15,0.0384,0.4834,0.8613,0.8848,0.97,0.0202
16,0.2396,0.4094,0.8846,0.9129,0.9662,0.0154
17,0.214,0.4094,0.8607,0.9026,0.9488,0.0172
18,0.1054,0.4293,0.8563,0.8891,0.9587,0.0195
19,0.1972,0.4014,0.8768,0.9072,0.9632,0.0164
20,0.0702,0.407,0.8512,0.9023,0.9377,0.0173
21,0.3497,0.3541,0.8771,0.9127,0.9575,0.0154
22,0.158,0.3853,0.8565,0.8916,0.956,0.0191
23,0.0182,0.4172,0.8204,0.8663,0.9393,0.0235
24,0.0621,0.3637,0.8019,0.8804,0.8999,0.0212
25,0.0591,0.348,0.7668,0.8609,0.8752,0.0247
26,0.1411,0.3271,0.8214,0.8916,0.9125,0.0192
27,0.0269,0.3514,0.7663,0.8361,0.9017,0.0288
28,0.3048,0.2737,0.8119,0.8999,0.8925,0.0179
29,0.2819,0.2696,0.791,0.8925,0.8743,0.0192
30,0.2726,0.2888,0.8294,0.8833,0.9314,0.0206
31,0.6574,0.207,0.8394,0.9052,0.9202,0.0169
32,0.3668,0.2401,0.8035,0.8926,0.8895,0.0192
33,0.0634,0.2707,0.6499,0.7884,0.7872,0.0377
34,0.0553,0.2712,0.7322,0.8151,0.878,0.0326
35,0.2408,0.2221,0.7127,0.8452,0.8197,0.0278
36,0.4826,0.1777,0.7464,0.8864,0.8254,0.0205
37,0.5532,0.1774,0.7624,0.8721,0.8583,0.0229
38,0.0223,0.2245,0.4826,0.6774,0.6266,0.0584
39,0.3391,0.1778,0.7198,0.8471,0.8272,0.0274
40,0.1519,0.1805,0.5988,0.7553,0.7429,0.0438
41,0.4416,0.1546,0.6806,0.8027,0.8174,0.0351
42,0.4951,0.1212,0.6254,0.8323,0.7155,0.0308
43,0.2951,0.1337,0.5628,0.7542,0.6892,0.0446
44,0.2625,0.129,0.5476,0.7369,0.6807,0.0476
45,0.2604,0.1188,0.5174,0.6935,0.6709,0.055
46,0.4156,0.0912,0.5038,0.731,0.6184,0.0496
47,0.521,0.0855,0.5476,0.752,0.6683,0.0452
48,0.3573,0.0826,0.4777,0.6514,0.6418,0.0623
49,0.2923,0.0801,0.4342,0.6215,0.5903,0.0681
