timestep,Dice,SSIM,IOU,Precision,Recall,FPR
0000,0.0000,0.8429,0.7695,0.7805,0.9821,0.0378
0001,0.0000,0.8290,0.8345,0.8451,0.9852,0.0269
0002,0.0000,0.8108,0.7889,0.7982,0.9854,0.0348
0003,0.0000,0.8048,0.7553,0.7608,0.9905,0.0410
0004,0.0000,0.7808,0.7606,0.7691,0.9858,0.0396
0005,0.0000,0.7710,0.8660,0.8740,0.9896,0.0220
0006,0.0000,0.7701,0.7075,0.7121,0.9909,0.0489
0007,0.0000,0.7516,0.8590,0.8636,0.9938,0.0238
0008,0.0000,0.7465,0.7471,0.7525,0.9904,0.0423
0009,0.0000,0.7365,0.8332,0.8369,0.9947,0.0283
0010,0.0000,0.7318,0.8039,0.8075,0.9944,0.0332
0011,0.0000,0.7266,0.8314,0.8387,0.9896,0.0280
0012,0.0000,0.7136,0.8607,0.8639,0.9958,0.0237
0013,0.0000,0.7088,0.8460,0.8484,0.9966,0.0263
0014,0.0000,0.6992,0.8661,0.8694,0.9956,0.0228
0015,0.0000,0.6902,0.8130,0.8162,0.9952,0.0318
0016,0.0000,0.6791,0.8318,0.8350,0.9953,0.0286
0017,0.0000,0.6819,0.8555,0.8595,0.9945,0.0245
0018,0.0000,0.6732,0.8539,0.8570,0.9958,0.0249
0019,0.0000,0.6675,0.8111,0.8146,0.9948,0.0320
0020,0.0000,0.6647,0.8454,0.8490,0.9949,0.0262
0021,0.0000,0.6569,0.8443,0.8477,0.9953,0.0264
0022,0.0000,0.6521,0.8668,0.8699,0.9958,0.0227
0023,0.0000,0.6486,0.8594,0.8640,0.9939,0.0237
0024,0.0000,0.6432,0.8297,0.8323,0.9963,0.0290
0025,0.0000,0.6402,0.8457,0.8490,0.9954,0.0262
0026,0.0000,0.6374,0.8527,0.8548,0.9972,0.0252
0027,0.0000,0.6278,0.8701,0.8747,0.9940,0.0219
0028,0.0000,0.6316,0.8618,0.8658,0.9947,0.0234
0029,0.0000,0.6197,0.8483,0.8515,0.9956,0.0258
0030,0.0000,0.6176,0.8464,0.8499,0.9953,0.0261
0031,0.0000,0.6160,0.8625,0.8667,0.9944,0.0232
0032,0.0000,0.6138,0.8601,0.8632,0.9959,0.0238
0033,0.0000,0.6037,0.8428,0.8474,0.9935,0.0265
0034,0.0008,0.5997,0.8815,0.8848,0.9957,0.0201
0035,0.0000,0.5970,0.8505,0.8544,0.9947,0.0253
0036,0.0000,0.5981,0.8542,0.8574,0.9957,0.0248
0037,0.0002,0.5936,0.8459,0.8490,0.9956,0.0262
0038,0.0002,0.5797,0.8793,0.8833,0.9948,0.0204
0039,0.0000,0.5817,0.8710,0.8749,0.9950,0.0218
0040,0.0012,0.5753,0.8703,0.8743,0.9948,0.0219
0041,0.0050,0.5704,0.8718,0.8759,0.9947,0.0217
0042,0.0002,0.5722,0.8480,0.8504,0.9968,0.0260
0043,0.0002,0.5682,0.8631,0.8686,0.9927,0.0229
0044,0.0018,0.5649,0.8775,0.8813,0.9951,0.0207
0045,0.0000,0.5622,0.8621,0.8668,0.9938,0.0232
0046,0.0010,0.5594,0.8567,0.8605,0.9948,0.0243
0047,0.0010,0.5507,0.8734,0.8781,0.9940,0.0213
0048,0.0014,0.5520,0.8585,0.8625,0.9947,0.0240
0049,0.0060,0.5411,0.8708,0.8757,0.9937,0.0217
0050,0.0060,0.5487,0.8691,0.8737,0.9940,0.0221
0051,0.0014,0.5420,0.8571,0.8606,0.9952,0.0243
0052,0.0000,0.5380,0.8617,0.8676,0.9922,0.0231
0053,0.0080,0.5253,0.8545,0.8601,0.9924,0.0244
0054,0.0030,0.5290,0.8581,0.8631,0.9934,0.0239
0055,0.0048,0.5207,0.8752,0.8800,0.9937,0.0210
0056,0.0004,0.5227,0.8597,0.8630,0.9956,0.0239
0057,0.0020,0.5175,0.8596,0.8638,0.9944,0.0237
0058,0.0080,0.5091,0.8696,0.8748,0.9932,0.0219
0059,0.0000,0.5147,0.8243,0.8271,0.9960,0.0299
0060,0.0018,0.5082,0.8562,0.8592,0.9959,0.0245
0061,0.0052,0.5025,0.8648,0.8686,0.9949,0.0229
0062,0.0130,0.4963,0.8706,0.8769,0.9918,0.0215
0063,0.0072,0.4894,0.8734,0.8773,0.9950,0.0214
0064,0.0114,0.4867,0.8678,0.8714,0.9953,0.0224
0065,0.0028,0.4875,0.8554,0.8598,0.9941,0.0244
0066,0.0038,0.4851,0.8455,0.8501,0.9938,0.0261
0067,0.0110,0.4793,0.8593,0.8639,0.9939,0.0237
0068,0.0114,0.4737,0.8614,0.8656,0.9944,0.0234
0069,0.0046,0.4657,0.8599,0.8633,0.9955,0.0238
0070,0.0136,0.4569,0.8701,0.8754,0.9931,0.0218
0071,0.0054,0.4605,0.8494,0.8536,0.9942,0.0255
0072,0.0096,0.4614,0.8622,0.8685,0.9916,0.0229
0073,0.0122,0.4482,0.8536,0.8586,0.9932,0.0246
0074,0.0225,0.4445,0.8754,0.8798,0.9943,0.0210
