timestep,Dice,SSIM,IOU,Precision,Recall,FPR
0075,0.0068,0.4538,0.8502,0.8559,0.9922,0.0251
0076,0.0092,0.4539,0.8367,0.8427,0.9916,0.0273
0077,0.0076,0.4492,0.8420,0.8455,0.9950,0.0268
0078,0.0172,0.4398,0.8509,0.8549,0.9946,0.0252
0079,0.0058,0.4410,0.8511,0.8558,0.9936,0.0251
0080,0.0194,0.4305,0.8562,0.8600,0.9948,0.0244
0081,0.0098,0.4288,0.8613,0.8656,0.9943,0.0234
0082,0.0116,0.4279,0.8396,0.8439,0.9939,0.0271
0083,0.0331,0.4131,0.8538,0.8595,0.9922,0.0245
0084,0.0116,0.4100,0.8536,0.8592,0.9924,0.0245
0085,0.0241,0.4095,0.8555,0.8620,0.9913,0.0241
0086,0.0296,0.4009,0.8544,0.8595,0.9930,0.0245
0087,0.0200,0.4015,0.8308,0.8344,0.9948,0.0287
0088,0.0148,0.4061,0.8286,0.8337,0.9927,0.0288
0089,0.0148,0.4043,0.8320,0.8372,0.9926,0.0282
0090,0.0058,0.3898,0.8435,0.8485,0.9930,0.0263
0091,0.0280,0.3929,0.8462,0.8518,0.9924,0.0258
0092,0.0042,0.3943,0.8134,0.8182,0.9929,0.0314
0093,0.0420,0.3816,0.8509,0.8577,0.9907,0.0248
0094,0.0255,0.3873,0.8299,0.8350,0.9927,0.0286
0095,0.0030,0.3871,0.8180,0.8219,0.9941,0.0308
0096,0.0074,0.3793,0.8266,0.8324,0.9916,0.0291
0097,0.0298,0.3760,0.8128,0.8185,0.9916,0.0314
0098,0.0743,0.3536,0.8454,0.8490,0.9949,0.0262
0099,0.0494,0.3645,0.8272,0.8338,0.9905,0.0288
