,mean_arr,var_arr,skew_arr,kurtosis_arr,parms_octave,parms_frequency,parms_persistence
0,0.3574156,0.023990214,-0.5334043999895559,1.9472223788066845,2,128,0.1
1,-0.10549251,0.008362206,0.8273927689155659,2.7531668389146358,2,128,0.2
2,0.25508985,0.0053325966,-0.6205115080693783,2.8155857928872012,2,128,0.30000000000000004
3,-0.5641119,0.003792641,1.3212879711912753,4.663854666552768,2,128,0.4
4,-0.21557334,0.0042636376,-0.2320660309530824,1.7886116035400261,2,128,0.5
5,-0.34506083,0.040054277,0.28992102425349753,1.9754941510792965,2,128,0.6
6,-0.25951388,0.059080858,0.32691482906461167,1.9324152071084204,2,128,0.7
7,-0.30579883,0.09151504,0.10588907453363104,1.9511131143696265,2,128,0.7999999999999999
8,-0.09966718,0.016175216,0.6512412178367976,2.365366751942844,2,128,0.8999999999999999
9,-0.39605397,0.084459424,0.05713423325252921,1.986528931088536,2,128,0.9999999999999999
10,0.15378779,0.050236695,0.336131537041465,1.9305474072770092,2,128,1.0999999999999999
11,0.4932505,0.059921846,-0.5943190356987328,2.432407245698703,2,128,1.2
12,-0.03049168,0.020612955,0.6704197823099411,2.4692240489297634,2,128,1.3
13,-1.0510151,0.07118899,1.2993443638938058,4.49933430168582,2,128,1.4000000000000001
14,0.044254906,0.09410411,-0.4276326910346588,2.318644314196933,2,128,1.5000000000000002
15,-0.07478743,0.19830026,0.29093829613830813,1.7146877231908189,2,128,1.6000000000000003
16,0.13605058,0.066242576,-0.4721865307440333,2.834962906273373,2,128,1.7000000000000004
17,0.49346086,0.03969034,-1.5397824357134988,5.633389802460042,2,128,1.8000000000000005
18,0.20703816,0.026693497,0.5288090334681896,3.0336109703100886,2,128,1.9000000000000006
19,-0.071936876,0.188393,0.2869401343613342,1.6954189381036948,2,128,2.0000000000000004
20,-0.41122755,0.06377811,0.988739111080343,3.5614788945880647,2,128,2.1000000000000005
21,-0.22603543,0.25528234,-0.022525578421355667,1.6601960867233785,2,128,2.2000000000000006
22,0.528231,0.35001296,-0.22711073649682048,1.8224872612245202,2,128,2.3000000000000007
23,-0.6017017,0.30804807,-0.05602398363590364,1.912719304001663,2,128,2.400000000000001
24,0.09612223,0.22592047,-0.3293498362561865,2.0522291418166354,2,128,2.500000000000001
25,0.6846497,0.19108427,-0.6291789350453783,2.4270270798013844,2,128,2.600000000000001
26,0.48786032,0.17183927,0.4441294837676181,2.1251415403444858,2,128,2.700000000000001
27,0.7159459,0.21545449,-0.2223862696995212,2.457344483572761,2,128,2.800000000000001
28,1.1271813,0.17236024,-0.057287854966141805,2.1912036316220598,2,128,2.9000000000000012
29,-0.3752325,0.11245074,0.6479065739560312,2.7024871008524283,2,128,3.0000000000000013
30,0.38857406,0.46445057,-0.3341044843896323,1.7926487962103674,2,128,3.1000000000000014
31,0.28908053,0.21336043,-0.9143270849372425,2.7482095371817623,2,128,3.2000000000000015
32,0.7998439,0.25316504,-0.03141258633943623,2.7652313031634255,2,128,3.3000000000000016
33,-0.30010366,0.14615574,-1.377805117073378,4.0212006021248685,2,128,3.4000000000000017
34,-1.248584,0.23471227,0.5011329739790535,2.037255534762126,2,128,3.5000000000000018
35,0.0076866,0.26826376,0.7251165143749569,2.8975841167602203,2,128,3.600000000000002
36,0.006699104,0.4071867,0.1480696831749112,1.9509478601432098,2,128,3.700000000000002
37,-0.6829072,0.5147665,-0.09207885365642274,1.6606479447529432,2,128,3.800000000000002
38,-0.44727775,0.21769996,-0.30931878640858396,1.7469034226362774,2,128,3.900000000000002
39,-0.5899875,0.2216109,0.07633638124651439,2.201911064366726,2,128,4.000000000000002
40,-0.72720623,0.5768671,-0.18125725735665027,1.8967592638938944,2,128,4.100000000000001
41,0.9495068,1.0603175,-0.3307902808212243,2.035454987317798,2,128,4.200000000000001
42,-0.65556914,0.2868178,0.14668751521517612,2.1510165797006224,2,128,4.300000000000001
43,-0.62338495,0.9450644,-0.030719192713526793,1.850897522148032,2,128,4.4
44,0.5064001,0.7374151,-0.06978188565675926,1.9300781333354184,2,128,4.5
45,0.05626279,0.42898247,0.01584652812113054,2.0500242577032344,2,128,4.6
46,-0.3755349,0.4301355,0.2715411167996763,1.9305243164222217,2,128,4.699999999999999
47,-0.033337787,0.5375638,-0.3399881604849972,2.3023921057165087,2,128,4.799999999999999
48,-0.77497774,0.69563174,0.44967200309606603,2.177691030140627,2,128,4.899999999999999
49,-2.6607718,0.46891138,0.1425463053551579,2.2439796733929946,2,128,4.999999999999998
50,-1.0834587,0.7024151,0.744995780731678,2.4440351449207234,2,128,5.099999999999998
51,-0.22522508,0.414954,0.301265118152864,2.817548652225884,2,128,5.1999999999999975
52,-0.2845125,0.5553683,0.7160384714184808,2.4300223725730574,2,128,5.299999999999997
53,0.6312736,0.6012164,0.30335748942323054,1.9470813911702058,2,128,5.399999999999997
54,1.7370636,1.8136666,-0.22682098358556085,2.0952188267894187,2,128,5.4999999999999964
55,-2.192461,0.55787003,0.5135452967711992,2.288758704821297,2,128,5.599999999999996
56,1.4114926,1.3937683,-0.5029186319724303,2.671834125382568,2,128,5.699999999999996
57,-1.3360646,0.46907037,1.1121094090881607,4.931839100973082,2,128,5.799999999999995
58,-1.963397,1.4896607,0.9132468689235728,3.2200865235613794,2,128,5.899999999999995
59,-1.1563113,0.3522032,0.5910246095433009,2.810350272837096,2,128,5.999999999999995
60,0.14117098,3.9750998,0.024918713975544394,1.8741043050715003,2,128,6.099999999999994
61,-0.22991031,0.3108564,-0.1157711570091309,2.092964679164437,2,128,6.199999999999994
