,mean_arr,var_arr,skew_arr,kurtosis_arr,parms_octave,parms_frequency,parms_persistence,num_timesteps
74,0.18874374,0.076128915,-0.031684214,3.792271796,8,128,0.8,750
75,-0.3187347,0.104942426,0.038715794,2.30496154,8,128,0.8,760
76,-0.38327157,0.11403529,0.002806202,2.32171613,8,128,0.8,770
77,0.6702943,0.04025509,-0.191774983,2.780341377,8,128,0.8,780
78,-0.16701633,0.24264166,0.046354257,1.879168108,8,128,0.8,790
79,-0.22956133,0.050787702,-0.076207449,2.575801145,8,128,0.8,800
80,0.2086951,0.11535598,0.142225138,3.155677691,8,128,0.8,810
81,0.23297839,0.061741713,0.214515762,2.724893828,8,128,0.8,820
82,-0.45009834,0.078799054,0.330743968,3.05898959,8,128,0.8,830
83,0.13241963,0.13852496,-0.091016619,2.541549147,8,128,0.8,840
84,-0.2463291,0.06050771,0.134125946,3.281769818,8,128,0.8,850
85,-0.15973808,0.07389239,0.115339978,2.884961138,8,128,0.8,860
86,-0.26541695,0.06496993,-0.153109185,2.690397173,8,128,0.8,870
87,0.17687497,0.06139905,0.132451813,2.558476103,8,128,0.8,880
88,0.12719004,0.16102903,-0.213234917,2.27757895,8,128,0.8,890
89,-0.18408653,0.055171408,-0.086276543,3.007436046,8,128,0.8,900
90,0.22171578,0.05619098,-0.36011149,2.999432978,8,128,0.8,910
91,0.19935408,0.12301308,0.025995358,2.235568419,8,128,0.8,920
92,0.021775115,0.0612821,0.12961217,2.722222517,8,128,0.8,930
93,0.321252,0.13323125,0.466531505,2.408490983,8,128,0.8,940
94,-0.08076502,0.06264042,-0.231667128,2.70077878,8,128,0.8,950
95,0.3034023,0.116103426,-0.469974659,2.803074761,8,128,0.8,960
96,-0.28293967,0.07932076,-0.122153479,2.576864935,8,128,0.8,970
97,-0.18478763,0.047492646,-0.47896497,3.525049741,8,128,0.8,980
98,0.35589343,0.08315511,-0.205712757,2.721520807,8,128,0.8,990
99,-0.32482672,0.13053833,-0.389038447,2.461878027,8,128,0.8,1000
,-0.032925509,-0.075481288,-0.159238326,0.074702186,#DIV/0!,#DIV/0!,0,1
