timestep,Dice,SSIM,IOU,Precision,Recall,FPR
0000,0.0032,0.2535,0.0411,0.0000,0.0000,0.1595
0001,0.0031,0.2299,0.0369,0.0000,0.0000,0.1604
0002,0.0035,0.2121,0.0361,0.0000,0.0000,0.1618
0003,0.0049,0.1920,0.0371,0.0000,0.0000,0.1619
0004,0.0062,0.1741,0.0393,0.0000,0.0000,0.1617
0005,0.0070,0.1613,0.0357,0.0000,0.0000,0.1633
0006,0.0080,0.1486,0.0385,0.0000,0.0000,0.1630
0007,0.0124,0.1355,0.0405,0.0000,0.0000,0.1629
0008,0.0135,0.1272,0.0411,0.0000,0.0000,0.1638
0009,0.0184,0.1203,0.0419,0.0000,0.0000,0.1640
0010,0.0215,0.1123,0.0415,0.0000,0.0000,0.1643
0011,0.0240,0.1036,0.0403,0.0000,0.0000,0.1647
0012,0.0302,0.0967,0.0430,0.0000,0.0000,0.1630
0013,0.0387,0.0914,0.0444,0.0000,0.0000,0.1628
0014,0.0407,0.0883,0.0444,0.0000,0.0000,0.1643
0015,0.0482,0.0822,0.0494,0.0000,0.0000,0.1620
0016,0.0540,0.0745,0.0476,0.0000,0.0000,0.1632
0017,0.0607,0.0726,0.0502,0.0000,0.0000,0.1623
0018,0.0683,0.0692,0.0551,0.0000,0.0000,0.1617
0019,0.0710,0.0651,0.0559,0.0000,0.0000,0.1614
0020,0.0780,0.0607,0.0541,0.0000,0.0000,0.1624
0021,0.0886,0.0560,0.0617,0.0000,0.0000,0.1595
0022,0.0928,0.0524,0.0591,0.0000,0.0000,0.1606
0023,0.0940,0.0504,0.0609,0.0000,0.0000,0.1606
0024,0.0972,0.0509,0.0617,0.0000,0.0000,0.1603
0025,0.1070,0.0449,0.0655,0.0000,0.0000,0.1594
0026,0.1141,0.0423,0.0673,0.0000,0.0000,0.1593
0027,0.1174,0.0423,0.0685,0.0000,0.0000,0.1582
0028,0.1269,0.0413,0.0688,0.0000,0.0000,0.1596
0029,0.1236,0.0379,0.0687,0.0000,0.0000,0.1595
0030,0.1303,0.0359,0.0714,0.0000,0.0000,0.1583
0031,0.1385,0.0326,0.0770,0.0000,0.0000,0.1576
0032,0.1427,0.0355,0.0752,0.0000,0.0000,0.1580
0033,0.1456,0.0295,0.0753,0.0000,0.0000,0.1585
0034,0.1487,0.0292,0.0766,0.0000,0.0000,0.1583
0035,0.1564,0.0282,0.0809,0.0000,0.0000,0.1568
0036,0.1622,0.0263,0.0834,0.0000,0.0000,0.1563
0037,0.1635,0.0251,0.0838,0.0000,0.0000,0.1563
0038,0.1601,0.0250,0.0799,0.0000,0.0000,0.1582
0039,0.1714,0.0244,0.0860,0.0000,0.0000,0.1562
0040,0.1710,0.0217,0.0857,0.0000,0.0000,0.1566
0041,0.1801,0.0211,0.0868,0.0000,0.0000,0.1563
0042,0.1772,0.0204,0.0878,0.0000,0.0000,0.1559
0043,0.1841,0.0181,0.0890,0.0000,0.0000,0.1561
0044,0.1830,0.0178,0.0895,0.0000,0.0000,0.1557
0045,0.1886,0.0173,0.0931,0.0000,0.0000,0.1551
0046,0.1974,0.0159,0.0934,0.0000,0.0000,0.1547
0047,0.1947,0.0155,0.0914,0.0000,0.0000,0.1561
0048,0.2025,0.0138,0.0986,0.0000,0.0000,0.1531
0049,0.1978,0.0139,0.0940,0.0000,0.0000,0.1554
0050,0.2021,0.0133,0.0967,0.0000,0.0000,0.1541
0051,0.2126,0.0111,0.0987,0.0000,0.0000,0.1536
0052,0.2124,0.0113,0.0987,0.0000,0.0000,0.1545
0053,0.2066,0.0104,0.0972,0.0000,0.0000,0.1547
0054,0.2091,0.0098,0.0985,0.0000,0.0000,0.1543
0055,0.2114,0.0109,0.0993,0.0000,0.0000,0.1539
0056,0.2225,0.0099,0.1051,0.0000,0.0000,0.1515
0057,0.2203,0.0088,0.1025,0.0000,0.0000,0.1528
0058,0.2220,0.0087,0.1038,0.0000,0.0000,0.1525
0059,0.2221,0.0085,0.1026,0.0000,0.0000,0.1529
0060,0.2257,0.0075,0.1032,0.0000,0.0000,0.1532
0061,0.2291,0.0074,0.1064,0.0000,0.0000,0.1516
0062,0.2320,0.0082,0.1071,0.0000,0.0000,0.1513
0063,0.2321,0.0050,0.1060,0.0000,0.0000,0.1520
0064,0.2335,0.0077,0.1091,0.0000,0.0000,0.1507
0065,0.2319,0.0066,0.1052,0.0000,0.0000,0.1525
0066,0.2399,0.0045,0.1103,0.0000,0.0000,0.1503
0067,0.2427,0.0050,0.1100,0.0000,0.0000,0.1506
0068,0.2391,0.0048,0.1073,0.0000,0.0000,0.1521
0069,0.2461,0.0048,0.1123,0.0000,0.0000,0.1496
0070,0.2461,0.0042,0.1136,0.0000,0.0000,0.1493
0071,0.2409,0.0040,0.1122,0.0000,0.0000,0.1498
0072,0.2534,0.0038,0.1184,0.0000,0.0000,0.1471
0073,0.2520,0.0031,0.1144,0.0000,0.0000,0.1493
0074,0.2475,0.0037,0.1135,0.0000,0.0000,0.1497
0075,0.2582,0.0030,0.1169,0.0000,0.0000,0.1482
0076,0.2593,0.0028,0.1161,0.0000,0.0000,0.1486
0077,0.2620,0.0024,0.1223,0.0000,0.0000,0.1455
0078,0.2584,0.0014,0.1165,0.0000,0.0000,0.1486
0079,0.2630,0.0014,0.1215,0.0000,0.0000,0.1462
0080,0.2525,0.0017,0.1148,0.0000,0.0000,0.1495
0081,0.2574,0.0020,0.1171,0.0000,0.0000,0.1481
0082,0.2631,0.0017,0.1201,0.0000,0.0000,0.1469
0083,0.2729,0.0010,0.1254,0.0000,0.0000,0.1441
0084,0.2669,0.0013,0.1208,0.0000,0.0000,0.1468
0085,0.2717,0.0016,0.1208,0.0000,0.0000,0.1466
0086,0.2733,0.0017,0.1241,0.0000,0.0000,0.1452
0087,0.2739,0.0004,0.1218,0.0000,0.0000,0.1463
0088,0.2690,0.0002,0.1222,0.0000,0.0000,0.1462
0089,0.2725,0.0005,0.1232,0.0000,0.0000,0.1458
0090,0.2805,0.0010,0.1279,0.0000,0.0000,0.1435
0091,0.2757,0.0011,0.1261,0.0000,0.0000,0.1441
0092,0.2755,0.0000,0.1247,0.0000,0.0000,0.1451
0093,0.2790,-0.0001,0.1264,0.0000,0.0000,0.1442
0094,0.2806,0.0003,0.1272,0.0000,0.0000,0.1439
0095,0.2768,0.0007,0.1249,0.0000,0.0000,0.1452
0096,0.2861,-0.0003,0.1307,0.0000,0.0000,0.1420
0097,0.2830,0.0001,0.1284,0.0000,0.0000,0.1433
0098,0.2774,0.0011,0.1268,0.0000,0.0000,0.1440
0099,0.2765,-0.0001,0.1241,0.0000,0.0000,0.1455
