dice,ssim,iou,precision,recall,fpr,auc
0.3461 +- 0.2239,0.2554 +- 0.0463,0.2337 +- 0.1829,0.4919 +- 0.2532,0.3138 +- 0.2413,0.0428 +- 0.0429,0.7053 +- 0.1321
0.4661 +- 0.3288,0.6733 +- 0.06012,0.3643 +- 0.2856,0.3832 +- 0.2975,0.7051 +- 0.4308,0.0461 +- 0.0465,0.6876 +- 0.1524
