dice,ssim,iou,precision,recall,fpr,auc
0.2276 +- 0.2130,0.8318 +- 0.0450,0.1471 +- 0.1573,0.5085 +- 0.2825,0.4273 +- 0.4100,0.0054 +- 0.0083,0.7178 +- 0.1132
0.2913 +- 0.2440,0.8619 +- 0.03528,.1987 +- 0.2006,0.2950 +- 0.2624,0.5481 +- 0.40261,0.0063 +- 0.0085,0.818 +- 0.1200
