timestep,Dice,SSIM,IOU,Precision,Recall,FPR
0000,0.0000,0.8297,0.5671,0.8291,0.6422,0.0321
0001,0.0000,0.7743,0.4002,0.5940,0.5509,0.0734
0002,0.0000,0.7275,0.3860,0.4999,0.6286,0.0860
0003,0.0000,0.6843,0.4367,0.5916,0.6251,0.0721
0004,0.0000,0.6396,0.5256,0.7069,0.6721,0.0528
0005,0.0000,0.5842,0.3103,0.4837,0.4641,0.0928
0006,0.0008,0.5515,0.5718,0.7676,0.6916,0.0423
0007,0.0000,0.5408,0.3841,0.5421,0.5686,0.0810
0008,0.0000,0.5057,0.4560,0.6334,0.6195,0.0656
0009,0.0022,0.4834,0.4674,0.6831,0.5968,0.0580
0010,0.0102,0.4657,0.6020,0.8002,0.7084,0.0365
0011,0.0116,0.4403,0.4420,0.6724,0.5634,0.0605
0012,0.0167,0.4169,0.4410,0.6308,0.5945,0.0665
0013,0.0276,0.4005,0.4746,0.6663,0.6226,0.0602
0014,0.1099,0.3786,0.5693,0.7493,0.7032,0.0452
0015,0.0547,0.3540,0.4929,0.7348,0.5996,0.0493
0016,0.0268,0.3367,0.3836,0.6141,0.5054,0.0716
0017,0.0511,0.3275,0.4641,0.6782,0.5951,0.0588
0018,0.0489,0.3054,0.4108,0.6201,0.5490,0.0693
0019,0.1395,0.2920,0.4986,0.6848,0.6472,0.0568
0020,0.1095,0.2718,0.4546,0.6875,0.5729,0.0578
0021,0.2353,0.2640,0.5550,0.7551,0.6769,0.0446
0022,0.1777,0.2576,0.5242,0.6871,0.6886,0.0558
0023,0.2538,0.2295,0.5195,0.7023,0.6663,0.0536
0024,0.3016,0.2225,0.5645,0.6962,0.7490,0.0535
0025,0.1516,0.2148,0.3973,0.5886,0.5501,0.0743
0026,0.3669,0.1929,0.5104,0.7043,0.6496,0.0535
0027,0.5551,0.1724,0.6045,0.7377,0.7700,0.0464
0028,0.5112,0.1712,0.5812,0.7113,0.7607,0.0509
0029,0.6099,0.1508,0.5923,0.7085,0.7831,0.0511
0030,0.5137,0.1470,0.5077,0.6707,0.6764,0.0586
0031,0.1254,0.1527,0.2314,0.3864,0.3659,0.1105
0032,0.5678,0.1327,0.5100,0.6693,0.6818,0.0588
0033,0.6420,0.1048,0.4981,0.6898,0.6419,0.0561
0034,0.4683,0.1155,0.4023,0.5938,0.5550,0.0733
0035,0.3732,0.1204,0.3443,0.5359,0.4905,0.0841
0036,0.4279,0.1009,0.3567,0.5468,0.5064,0.0820
0037,0.4880,0.0945,0.3538,0.5328,0.5130,0.0839
0038,0.6154,0.0830,0.3960,0.5990,0.5389,0.0730
0039,0.6547,0.0584,0.3940,0.6238,0.5167,0.0697
0040,0.6772,0.0614,0.3881,0.6193,0.5098,0.0706
0041,0.4735,0.0700,0.2684,0.4526,0.3974,0.1001
0042,0.6753,0.0294,0.3550,0.6614,0.4338,0.0666
0043,0.6493,0.0310,0.3242,0.6210,0.4041,0.0747
0044,0.6070,0.0161,0.2970,0.6442,0.3553,0.0742
0045,0.6059,0.0273,0.2969,0.5961,0.3716,0.0807
0046,0.5646,0.0242,0.2697,0.5714,0.3381,0.0871
0047,0.5457,0.0128,0.2531,0.5739,0.3117,0.0894
0048,0.4936,0.0042,0.2286,0.5690,0.2765,0.0947
0049,0.3943,0.0338,0.1635,0.3465,0.2365,0.1271
